 Omnivariance, Eigenentropy, Anisotropy, Linearity, Surface Variation, Class
0.1687,0.8634,-3.976,-1.237,0.6059,1
0.1614,0.8519,-4.014,-1.245,0.6071,1
0.1327,0.7961,-3.702,-1.077,0.6044,1
0.1558,0.838,-4.723,-1.512,0.6197,1
0.1399,0.8149,-3.255,-0.9708,0.5888,1
0.1298,0.788,-3.382,-0.8461,0.6063,1
0.1264,0.7529,-5.067,-0.4193,0.7149,1
0.1676,0.8628,-3.812,-1.151,0.6043,1
0.1307,0.7921,-3.981,-1.277,0.6032,1
0.1291,0.7858,-3.471,-0.8571,0.6101,1
0.09936,0.6913,-4.346,-0.2391,0.7048,1
0.1663,0.8638,-3.541,-1.077,0.5961,1
0.1311,0.7899,-3.315,-0.7238,0.613,1
0.1609,0.8495,-3.785,-1.007,0.6141,1
0.1321,0.7956,-3.531,-1.042,0.5983,1
0.1302,0.7902,-3.308,-0.8838,0.599,1
0.165,0.8601,-3.609,-1.053,0.6015,1
0.1268,0.7816,-3.251,-0.8588,0.5979,1
0.1417,0.82,-3.015,-0.8789,0.5824,1
0.1456,0.8281,-3.186,-0.9565,0.586,1
0.1653,0.8558,-3.953,-1.109,0.6143,1
0.1426,0.8222,-2.811,-0.7593,0.58,1
0.1279,0.7835,-3.538,-0.9272,0.6079,0
0.1288,0.7862,-3.702,-1.039,0.6074,0
0.1647,0.8579,-3.897,-1.194,0.6052,0
0.1308,0.7888,-3.43,-0.7578,0.6163,0
0.1402,0.8167,-3.413,-1.139,0.5843,0
0.1654,0.8568,-4.022,-1.196,0.6111,0
0.1556,0.8422,-4.255,-1.418,0.6059,0
